Name,Class,rt.sd,rt,RI,Blank,Pool,S48,E0,E0,Pool,S48,S0,S0,S0,E48,Pool,Blank,Pool,E0,S48,S0,S48,Pool,E0,S48,Blank,Pool,Blank,Pool,E48,E48,Pool,E48,E48,E0,S0,Blank,Pool
,Unknown,"0,0051","6,079",NA,1902955,2030660,2029831,2142560,2161518,2311589,2207735,1979878,1998315,1997973,1927563,1920577,0,2149339,0,2003246,2030312,1939155,1996961,2052888,2025853,0,0,0,2214573,1983584,1972737,2042556,1984388,2014153,2035889,2046307,0,2061639
,Unknown,"0,004","3,903",NA,1678719,610463,166885,485396,538088,0,0,786113,0,252829,128623,326192,0,1517629,0,554297,649149,339746,529080,782605,333448,0,179469,0,574512,748388,652714,402308,529370,431699,544439,0,0,0
Ethanolamine 3TMS,Unknown,"0,0047","5,941",NA,869650,0,0,0,0,0,0,0,0,0,809596,0,0,0,0,0,0,0,0,0,0,0,0,0,1114733,1135016,0,0,0,985465,1071786,0,0,0
FAME C10,Unknown,"0,0042","6,305",NA,642663,620149,591563,548503,582724,674605,621134,669482,625135,681520,563966,659309,681561,769026,622493,708278,664022,650058,696685,696845,724477,660397,728503,648703,758846,750598,778352,797780,761493,753425,789694,781075,653001,744796
FAME C09,Unknown,"0,0033","5,367",NA,506148,526279,485269,408922,430082,527277,451404,587112,473753,593207,423765,539070,717210,714818,578173,647157,602121,508082,628964,605768,632118,635101,574574,624454,637222,669860,692676,711087,656368,621365,664317,674971,607668,578337
,Unknown,"0,0055","3,04",NA,522668,535563,0,310280,304588,0,0,0,0,0,0,264929,0,1192865,0,0,0,0,0,0,0,0,0,0,507528,698715,637015,0,0,0,0,0,0,0
FAME C12,Unknown,"0,0038","8,041",NA,435359,562596,484904,527112,600829,599546,608727,551672,518161,546450,538321,548070,446057,598140,498560,562951,554002,543079,573277,608685,584347,460438,662359,497966,668208,623535,676681,634989,641916,591013,660558,708953,497270,690838
FAME C08,Unknown,"0,0035","4,375",NA,337781,314593,286379,240504,258155,287440,250568,395334,286122,385060,294348,354318,506235,484991,397926,456211,404467,325875,404424,412197,425660,438274,342000,494113,384058,512500,498470,484627,483093,446953,481982,429898,425606,331137
FAME C14,Unknown,"0,0042","9,594",NA,339128,0,0,0,0,0,0,0,0,0,0,0,395681,0,0,0,0,0,0,0,0,400846,0,458928,0,0,0,0,0,0,0,0,435859,0
FAME C16,Unknown,"0,0032",11,NA,263510,0,0,0,0,0,0,0,0,0,0,0,350520,0,0,0,0,0,0,0,0,323181,0,338697,0,0,0,0,0,0,0,0,345206,0
,Unknown,"0,0041","4,801",NA,145777,0,0,0,156939,0,0,0,0,0,0,0,143500,0,0,0,0,0,0,0,0,163488,0,160049,0,0,0,0,0,0,0,0,169908,0
FAME C18,Unknown,"0,0033","12,28",NA,94837,130471,131647,124645,135288,152581,158285,159860,163705,163683,167178,163362,167120,159977,152421,157791,162597,156077,164416,167674,164015,151837,191156,137941,170753,155386,171246,176424,176972,183871,168885,196467,159027,213921
FAME C20,Unknown,"0,0022","13,459",NA,96290,94536,97940,106389,104157,116202,117173,132469,130834,128527,136812,124833,92857,130703,84023,135656,121695,134903,128684,131027,134579,92358,141857,88100,138935,130818,151523,138613,148908,146884,139919,159754,91542,167435
Palmitic acid TMS,Unknown,"0,0015","11,456",NA,85291,394493,405789,368017,336369,698109,563536,347574,447790,401648,454492,450751,3384358,849655,438539,348880,478882,386920,680268,621035,341444,255091,1034119,166991,656757,474525,508889,734818,539948,540558,568614,441993,211112,901753
B-Alanine 3TMS,Unknown,"0,0054","6,518",NA,82782,0,0,0,0,0,0,0,0,0,301933,0,0,0,0,246359,0,235553,0,0,290924,0,0,0,0,251449,359836,0,328815,284376,185147,0,0,0
FAME C24,Unknown,"0,0027","15,578",NA,80108,77396,70574,83991,83554,95800,55052,66582,65652,69057,90985,81171,0,101582,0,80372,59614,85850,103152,120678,55451,24897,106809,16564,83396,105444,104448,75334,106072,113644,104343,0,21518,63555
,Unknown,"0,0029","6,194",NA,78697,0,0,122027,118841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184263,176279,0,0,0
Stearic acid TMS,Unknown,"0,0082","12,676",NA,72950,0,0,0,0,0,0,0,0,0,0,0,3454624,636394,253956,0,0,0,0,0,0,105956,476451,145133,371762,0,0,387957,0,0,317265,0,175405,493754
Ethanolamine 3TMS,Unknown,"0,0041","4,546",NA,39117,0,0,0,0,0,0,0,0,0,0,0,938875,0,0,0,0,0,0,0,0,326810,0,457705,0,0,0,0,0,0,0,0,237228,0
FAME C26,Unknown,"0,0027","16,534",NA,39749,0,0,0,0,0,0,0,0,0,0,0,53819,0,0,0,0,0,0,0,0,43345,0,19846,0,0,0,0,0,0,0,0,28338,0
,Unknown,"0,0034","3,244",NA,28880,432067,259832,0,590319,460727,0,390358,0,430007,362578,170704,0,190483,0,0,0,550724,190273,0,0,0,0,0,0,260916,464567,0,417583,474996,0,580436,0,0
1-Piperidinecarboxaldehyde,Unknown,"0,0046","5,782",NA,30568,32563,34814,37753,38838,39276,33562,34635,34527,31273,35667,34253,0,37499,0,25245,36419,34231,38232,29678,38322,0,43626,0,35805,39536,48182,35759,40515,41131,39396,32290,0,36182
Glycerol 3TMS,Unknown,"0,0011","4,847",NA,6935,63107,0,0,40620,0,0,0,0,0,0,0,0,76869,57051,0,80923,0,84989,66543,0,9199,0,9810,0,77896,0,99569,0,0,0,0,12738,0
Sucrose 8TMS,Unknown,"0,0028","13,882",NA,0,11961930,0,11725143,11701638,11544363,0,0,0,0,10158292,10512207,0,11047110,10626073,0,0,0,10891319,10926898,0,0,11046854,0,0,11282807,10611111,0,11246441,10784102,11396039,0,0,0
Glucose,Unknown,"0,0037","9,753",NA,0,7512406,9612436,6355809,7209929,8965999,7770141,8189289,6988171,7176585,6632019,6962442,0,7697705,6152702,6262591,7274695,7429598,7125208,7046050,6387754,0,7342136,0,8095014,5694145,6535170,7408940,6845715,6826691,5766079,7235021,0,7775599
Glucose,Unknown,"0,0026","9,877",NA,0,5089831,5380546,1609955,3460915,4785323,3321022,4703955,3900482,4443595,4066098,4001531,0,4253246,2892163,3491591,4312329,4344809,3928519,3939771,3013988,0,4090791,0,4522384,2249581,3262346,3796929,3842351,3380130,2737862,3669744,0,4144497
Alanine TMS,Unknown,"0,0021","3,493",NA,0,4749711,4804852,3252495,4618226,3638545,6318053,4947266,4201867,4263167,872431,4734118,0,5717219,2991487,6335064,4840103,5505790,4272785,4587216,3411012,0,3565359,0,4949740,1263017,1589343,4619826,874625,688829,2966442,3513580,0,3624286
L-Asparagine 3TMS,Unknown,"0,0021","9,077",NA,0,4497994,3732716,4558271,5994420,4777443,4828123,4252485,2139066,3019346,2995712,4234104,0,5378242,2439240,4454931,4873542,4151162,4434436,5257617,4832785,0,4299559,0,4927970,4447846,4708919,4294485,4650953,3214661,3865850,5528365,0,3949190
Malic acid 3TMS,Unknown,"0,0052","7,292",NA,0,4513666,4547220,3515675,3785594,4376487,5464542,3073769,1776459,541824,3232468,3938641,0,3723995,4546597,800836,3379286,2884289,4102263,4458079,3847211,0,4692930,0,4114260,2243891,3769819,3720684,3461046,3347690,2785181,2638896,0,4799314
Chlorogenic acid TMS,Unknown,"0,0021","16,848",NA,0,3803314,3201747,4176379,4445245,4153519,2395116,2089403,2153005,1918223,3307578,2940171,0,3449448,3375307,3080407,2369364,2052106,3438272,3481055,1791051,0,3439323,0,3439935,3284113,3675339,2976565,3708446,3708634,3162764,1450261,0,2929791
Myo-inositol 6TMS,Unknown,"0,0027","10,764",NA,0,3246610,3666124,2035723,3148206,3357707,3708285,2677199,2671970,2554986,3879772,2972242,0,2839530,1222221,3401607,2605123,2630189,2987625,2432771,3166133,0,3314854,0,2828432,1641163,4223497,2981300,2409912,3387966,1362668,2713146,0,3192351
Fructose 1MEOX 5TMS,Unknown,"0,003","9,654",NA,0,3314492,3371017,0,2864044,3530414,3224260,0,0,0,0,2695085,0,2864530,2510246,2683867,3015430,2869723,2720948,0,2457325,0,2788200,0,2937526,2615885,0,2662332,0,0,2758388,3032519,0,2751444
Asparagine 4TMS,Unknown,"0,004","7,91",NA,0,2844286,1299756,2461120,5688612,1697389,3757479,2389999,589537,1837114,1006186,2532952,0,2886161,449828,3250531,3445965,1660744,1653203,3130894,2300775,0,879655,0,1821628,2314079,2043897,1530814,2230805,629410,1595095,5585371,0,1615856
GABA 3TMS,Unknown,"0,0049","7,474",NA,0,2417045,2407144,2172834,2729047,2269904,2895820,2330708,2673634,2127297,0,2111278,0,2435576,1180503,2928030,2584584,2652806,2175865,2292871,2953340,0,2061713,0,2332005,0,0,2085890,0,0,1482228,2663002,0,2095733
Chlorogenic acid,Unknown,"0,0025","17,264",NA,0,2525787,1868413,4754277,6427117,2825873,0,616819,946092,0,3418955,1493209,0,3745525,4960815,1778791,1304013,1165042,2375240,4937434,849385,0,2306972,0,2033591,3351750,5175030,1423682,4987687,4331280,2656438,0,0,1092796
Asparagine dehydrated 2TMS,Unknown,"0,0047","8,169",NA,0,1835525,1157057,1448909,2122915,2848002,3383947,2515122,1659215,2947341,2332948,3093845,0,894906,287566,1756560,2333863,2544258,2755966,2005741,2989474,61232,2909142,0,2141686,1514099,2042572,2696711,2578468,878145,2273429,3402416,167484,3095663
,Unknown,"0,004","11,04",NA,0,1619162,1420240,1101870,1325011,2520218,2629543,1951898,1941329,2358155,1609538,1699188,0,1476913,737752,1676719,1870807,1811642,1831083,1386127,2701898,0,2293739,0,1404336,1099251,922034,1812162,1306543,1438223,781177,2966005,0,2299741
Chlorogenic acid,Unknown,"0,0034","17,187",NA,0,1329267,0,0,3678224,1619093,0,0,0,0,0,0,0,1934963,3577135,1121965,0,0,1270690,3491585,0,0,1364386,0,1013859,1742311,2343837,0,0,0,1256373,0,0,685874
L-Glutamic acid 3TMS,Unknown,"0,0042","8,372",NA,0,1235310,2100324,837084,1458191,1337344,1935881,486629,0,334889,1484543,1295621,0,1288262,1276305,2069770,534226,1708527,1160502,1714594,2351252,0,1176893,0,1344369,1397199,2370444,1234677,2002657,1656997,841814,891133,0,1265357
,Unknown,"0,0028","7,559",NA,0,1271908,1182690,0,0,0,0,0,0,0,0,0,0,1421599,0,0,0,0,0,0,0,0,0,0,1286792,0,0,1275113,0,0,0,0,0,0
,Unknown,"0,0086","13,846",NA,0,1120229,1131688,1151134,1154035,1155302,1192655,0,973769,1026585,0,945918,0,983268,0,0,0,1046409,977527,981441,0,0,1081489,0,985594,0,0,1067659,0,0,0,0,0,949507
,Unknown,"0,0024","12,99",NA,0,935328,887694,566143,969739,1355812,1617225,960194,1075897,1352381,1115378,1132764,0,1081710,757329,1365116,857726,1225344,1141890,1057617,1562043,0,1344961,0,922596,802792,1124509,1083753,1324904,1032682,605824,1880208,0,1347298
,Unknown,"0,0049","11,146",NA,0,985462,7827170,846370,1179282,5001150,10153473,6460659,5674247,5735712,2875668,0,0,0,0,811620,1595384,789101,1147854,1885537,3517453,0,2479617,0,0,451154,757520,1153003,804533,2930428,519564,6359844,0,2648899
,Unknown,"0,0045","5,536",NA,0,904656,603122,3775991,3865862,0,455382,603221,461372,0,4061644,1157468,0,1221631,3198097,347170,556511,301027,1322855,3743652,407366,0,0,0,995930,2301272,4408215,1333454,3890364,3674359,3755937,588276,0,0
,Unknown,"0,0046","16,968",NA,0,761272,0,0,0,852603,0,0,393525,0,0,0,0,0,0,0,0,0,817784,0,0,0,789899,0,823604,0,0,520202,0,0,0,0,0,0
,Unknown,"0,0031","6,872",NA,0,753233,403339,377191,420465,730745,1500682,965938,727866,1382188,781761,1635798,0,373961,0,692310,924141,1190147,1251616,631129,1117155,71764,1087604,0,1025629,511719,644355,1274822,1087981,325894,736762,3136298,199798,1470733
,Unknown,"0,0031","6,058",NA,0,710640,759797,867185,865658,1073255,1058929,1083424,1087194,1183732,965587,671919,0,907355,0,928924,984758,864955,977198,1033021,1132425,0,0,0,854723,891855,934719,1091347,918036,961212,1002348,1013693,0,983951
,Unknown,"0,0031","17,498",NA,0,593636,372864,708329,1293745,661716,0,0,0,0,348520,316093,0,939992,1111377,544201,257020,0,525449,1525151,0,0,540806,0,452757,731538,844301,333450,597475,482807,461851,0,0,276917
,Unknown,"0,0031","4,288",NA,0,574863,577934,436754,391813,679286,818214,855320,795640,1029319,471465,1224442,101746,945740,731675,831769,627712,621523,905013,766306,1172336,180807,892726,127486,732538,869596,768006,905251,733673,718617,557993,1028305,174028,730620
Valine 2TMS,Unknown,"0,0047","4,535",NA,0,540166,670790,373983,499356,493249,995675,1172410,707925,848584,397310,598862,0,781118,0,1131122,847590,686111,698763,785295,1246545,0,490371,0,678747,390067,677227,717620,593053,501753,373547,1213019,0,471598
,Unknown,"0,0033","10,458",NA,0,763411,1410388,0,661192,1158734,1584438,1086564,970510,1244343,543568,262191,0,0,0,822973,682863,709493,445644,386160,1478949,0,871100,0,0,0,0,420803,0,504105,0,1585535,0,818039
,Unknown,"0,0036","4,917",NA,0,444088,0,0,0,3771258,0,0,0,0,0,0,0,0,0,0,0,0,1439153,0,0,0,3451312,0,0,0,0,1284833,0,0,0,0,0,3201702
,Unknown,"0,0027","15,708",NA,0,331258,0,738868,694358,427854,0,0,0,0,494004,377195,0,460076,637701,0,0,0,440752,982667,0,0,450389,0,328774,601699,446980,273678,545044,529943,558581,0,0,283330
,Unknown,"0,0023","18,179",NA,0,338663,243191,305976,351247,318661,0,0,0,0,0,0,0,531689,360552,643299,326710,0,299772,364367,379078,0,297373,0,296084,338935,247469,220547,270707,238150,172674,0,0,0
FAME C16,Unknown,"0,006","11,006",NA,0,316527,325633,334209,333940,388343,0,377445,332371,0,359106,339039,0,387618,338947,387005,381331,388628,392049,423289,329964,0,392508,0,400403,388056,355402,415406,367463,343855,381822,0,0,430879
Aspartic acid 3TMS,Unknown,"0,0022","7,55",NA,0,296815,282943,0,0,0,0,0,101553,141840,0,0,0,334169,0,0,0,0,0,0,217146,0,0,0,299413,0,0,317342,0,0,0,0,0,0
Quinic acid 5TMS,Unknown,"0,004","9,531",NA,0,267947,301333,0,253888,317740,237872,266941,307286,240297,446359,260501,0,222010,0,206796,238888,265300,255339,382833,0,0,277356,0,222514,305890,0,259363,384565,0,142005,256380,0,282657
Asparagine 4TMS,Unknown,"0,0034","6,189",NA,0,250582,206383,0,0,0,0,0,0,0,113594,191584,0,138782,0,0,283652,0,0,0,0,0,0,0,260246,0,0,0,0,0,0,0,0,0
,Unknown,"0,004","7,688",NA,0,247107,243226,432919,867557,734347,1379990,1245465,455216,953857,719563,346875,0,235739,0,219590,560058,523766,555746,543108,792465,0,1066048,0,250517,342877,477749,505947,804954,300899,743237,2225324,0,788488
,Unknown,"0,0038","16,096",NA,0,237753,0,349560,316665,318791,0,0,0,0,225384,267337,0,347379,228082,235096,0,0,310825,490468,172513,0,326093,0,281281,443246,208528,237079,239517,282626,298170,0,0,255711
Isoleucine 2TMS,Unknown,"0,0041","5,297",NA,0,204749,262384,194037,216383,212891,403632,422744,332476,313115,0,243083,0,268543,216178,446043,276236,225739,254114,429240,387156,0,225483,0,267328,0,0,325081,0,0,0,503162,0,235342
Serine 3TMS,Unknown,"0,0025","5,918",NA,0,203803,0,165388,0,0,0,0,0,0,153862,0,0,255574,0,0,0,0,0,0,0,0,0,0,243593,164360,0,269580,219421,175842,216256,0,0,0
